2020-02-1100:18:28.746 2020-02-1100:18:28.764 2020-02-1100:18:28.76 2020-02-1100:18:28.76 
2020-02-1100:19:28.764 2020-02-1100:19:28.786 2020-02-1100:19:28.782 2020-02-1100:19:28.782 
2020-02-1100:20:28.786 2020-02-1100:20:28.804 2020-02-1100:20:28.8 2020-02-1100:20:28.8 
2020-02-1100:21:28.805 2020-02-1100:21:28.82 2020-02-1100:21:28.817 2020-02-1100:21:28.817 
2020-02-1100:22:28.82 2020-02-1100:22:28.833 2020-02-1100:22:28.83 2020-02-1100:22:28.83 
2020-02-1100:23:28.834 2020-02-1100:23:28.849 2020-02-1100:23:28.845 2020-02-1100:23:28.845 
2020-02-1100:24:28.85 2020-02-1100:24:28.876 2020-02-1100:24:28.871 2020-02-1100:24:28.871 
2020-02-1100:25:28.876 2020-02-1100:25:28.894 2020-02-1100:25:28.891 2020-02-1100:25:28.891 
2020-02-1100:26:28.894 2020-02-1100:26:28.909 2020-02-1100:26:28.906 2020-02-1100:26:28.906 
2020-02-1100:27:28.91 2020-02-1100:27:28.929 2020-02-1100:27:28.925 2020-02-1100:27:28.925 
